phase,status,cost,drift_max,theta_rate,fig8_phase,t_escape,binary,alpha_dtg,beta_dtg,tau_theta,dtheta_max,theta_min,theta_max,k_ctrl,k_ctrl_e,k_nu,k_nu_ed,nu0,nu_max,dt,tmax,ic,alpha,dtg,no_plots,lyap_light,adaptive_step,adapt_r_trigger,adapt_factor,min_max_step,run_dir
explore,ok,52.462180411274325,0.5252813621803426,0.013932610805944812,1.4082871233756087,nan,0,0.6,0.5502930565251491,0.7429215044241051,0.15301022714758564,0.9696414855869413,2.0,0.19476671871729492,0.5555797979464021,0.0,0.24134553171572584,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.550_tau0.743_d0.153_thmin0.970_kc0.195_ke0.556_knued0.241_20250906-154109_61656_7929
explore,ok,55.95430731326865,0.5594387815130206,0.013260050730513196,1.3212129134103394,nan,0,0.6,0.5243067739165659,0.9375053118675233,0.10228361157335523,0.9199845158305681,2.0,0.2884898398914019,0.47725229802138275,0.0,0.2792023657142746,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.524_tau0.938_d0.102_thmin0.920_kc0.288_ke0.477_knued0.279_20250906-154208_61655_2323
explore@3,ok,56.82450527545979,0.5694035249539932,0.01624567262447322,1.441738117118486,nan,0,0.6,0.6395184156531425,0.9835101373748268,0.08567360584506069,0.9748332537981476,2.0,0.2048274314708929,0.43490193944900496,0.0,0.1621426601972534,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.640_tau0.984_d0.086_thmin0.975_kc0.205_ke0.435_knued0.162_20250906-154510_62130_2454
explore,ok,57.40764404496482,0.5752573646390815,0.016481077692592862,1.4416020525217563,nan,0,0.6,0.6490696974941135,0.8722004132143935,0.09243835998494253,0.9765770457765425,2.0,0.200489181766894,0.33709833735205913,0.0,0.1645074565250196,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.649_tau0.872_d0.092_thmin0.977_kc0.200_ke0.337_knued0.165_20250906-154014_61654_2088
explore@3,ok,58.139217968405084,0.5820186123352007,0.020157601793295947,1.3263340589775314,nan,0,0.6,0.8,0.736433829574178,0.10802052448667795,0.9365115957235907,2.0,0.2800794990030228,0.5152761499415001,0.0,0.27829870434864057,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.800_tau0.736_d0.108_thmin0.937_kc0.280_ke0.515_knued0.278_20250906-154612_62129_4627
explore@3,ok,60.82342925422442,0.6089784850812475,0.020158417941860737,1.341043843102148,nan,0,0.6,0.8,0.6536320306951557,0.13390821397093558,0.909869897434634,2.0,0.20799210032452498,0.41291218919138295,0.0,0.2767263749247053,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.800_tau0.654_d0.134_thmin0.910_kc0.208_ke0.413_knued0.277_20250906-154551_62130_5590
explore,ok,60.92576510995146,0.6105704680188352,0.018299634789173878,1.4353566800503912,nan,0,0.6,0.7237471831737299,1.0829808250935127,0.14457026186195043,0.9583785429355054,2.0,0.2304342137182051,0.6892463055917482,0.0,0.206780156581253,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.724_tau1.083_d0.145_thmin0.958_kc0.230_ke0.689_knued0.207_20250906-153958_61653_4257
explore@2,ok,61.675978616312086,0.6167717213352762,0.02014721168703452,1.2496517504314966,nan,0,0.6,0.8,0.9245386736843243,0.1087966594762874,0.9132471564332155,2.0,0.23861558185815074,0.44806431601513075,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.800_tau0.925_d0.109_thmin0.913_kc0.239_ke0.448_knued0.300_20250906-154349_62014_5004
explore@3,ok,61.67665795736109,0.6167785147722504,0.02014721194955185,1.2496517504605409,nan,0,0.6,0.8,0.7285532676883176,0.08,0.9099835373097099,2.0,0.286253185359172,0.7,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.800_tau0.729_d0.080_thmin0.910_kc0.286_ke0.700_knued0.300_20250906-154510_62127_9421
explore@3,ok,61.67710202721273,0.6167829554775447,0.020147212025500537,1.2496517503584061,nan,0,0.6,0.8,0.6430790768654842,0.10956186881962034,0.91018203655332,2.0,0.1872335632327018,0.5028628758450917,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.800_tau0.643_d0.110_thmin0.910_kc0.187_ke0.503_knued0.300_20250906-154551_62127_4060
