phase,status,cost,drift_max,theta_rate,fig8_phase,t_escape,binary,alpha_dtg,beta_dtg,tau_theta,dtheta_max,theta_min,theta_max,k_ctrl,k_ctrl_e,k_nu,k_nu_ed,nu0,nu_max,dt,tmax,ic,alpha,dtg,no_plots,lyap_light,adaptive_step,adapt_r_trigger,adapt_factor,min_max_step,run_dir
explore,ok,30.961163028665776,0.6208568980342117,0.01564452877950084,1.313091463124509,nan,0,0.6,0.6197133992289419,0.6200086041781335,0.10200234546952955,0.9178568590519058,2.0,0.26047068212460184,0.5706797949691644,0.0,0.28382693515572677,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.620_tau0.620_d0.102_thmin0.918_kc0.260_ke0.571_knued0.284_20250906-151047_55740_3565
explore,ok,46.54176937629715,0.9321210117810913,0.008815105450470755,1.4403253956317896,nan,0,0.6,0.34346941631470806,0.9375374557482163,0.08238377755504563,0.9174910379842883,2.0,0.22580329321550435,0.31061438787354545,0.0,0.17982564760299727,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.343_tau0.938_d0.082_thmin0.917_kc0.226_ke0.311_knued0.180_20250906-151104_55740_9107
explore,ok,41.50884031379495,0.8321945516642457,0.015782077706290976,1.3576662308860719,nan,0,0.6,0.6249422188897615,1.0359531844825733,0.09763524976325574,0.9471412547100727,2.0,0.271414568501674,0.3025995038712244,0.0,0.2708728877749212,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.625_tau1.036_d0.098_thmin0.947_kc0.271_ke0.303_knued0.271_20250906-151047_55741_4016
explore,ok,28.621416634019443,0.5752573646390815,0.016481077692592862,1.4416020525217563,nan,0,0.6,0.6490696974941135,0.8722004132143935,0.09243835998494253,0.9765770457765425,2.0,0.200489181766894,0.33709833735205913,0.0,0.1645074565250196,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.649_tau0.872_d0.092_thmin0.977_kc0.200_ke0.337_knued0.165_20250906-151104_55741_1999
explore,ok,30.371384381029863,0.6105704680188352,0.018299634789173878,1.4353566800503912,nan,0,0.6,0.7237471831737299,1.0829808250935127,0.14457026186195043,0.9583785429355054,2.0,0.2304342137182051,0.6892463055917482,0.0,0.206780156581253,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.724_tau1.083_d0.145_thmin0.958_kc0.230_ke0.689_knued0.207_20250906-151047_55738_2870
explore,ok,44.49305585992993,0.8923301529428546,0.014665397225875391,1.4419945373850993,nan,0,0.6,0.5760203156366135,1.2635237314023957,0.1294815801891397,0.9689365520248622,2.0,0.2366028217885143,0.5818287344859694,0.0,0.15687365754834934,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.576_tau1.264_d0.129_thmin0.969_kc0.237_ke0.582_knued0.157_20250906-151104_55738_6085
explore,ok,32.152658449469676,0.644340265682987,0.010518958363150987,1.3979131276204053,nan,0,0.6,0.4139491378257734,0.8315103708816857,0.0863833581538902,0.9186232709088824,2.0,0.16515021441145936,0.41118944124403684,0.0,0.24535266663966002,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.414_tau0.832_d0.086_thmin0.919_kc0.165_ke0.411_knued0.245_20250906-151047_55739_1995
explore,ok,33.29858417987032,0.6676844753580633,0.01223449947308031,1.4082364832551129,nan,0,0.6,0.4824160894850421,0.8961447736935061,0.09676056246171902,0.9213582257639291,2.0,0.2904981881568741,0.5592141540986374,0.0,0.24136965085004822,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.482_tau0.896_d0.097_thmin0.921_kc0.290_ke0.559_knued0.241_20250906-151104_55739_8963
explore,ok,46.33940656408522,0.9281038821907388,0.009817210845076533,1.419038592502385,nan,0,0.6,0.3855693240990485,1.1833014383602793,0.09307219950095427,0.9303564353406119,2.0,0.29842850259548925,0.5559999039416371,0.0,0.23354246156619693,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.386_tau1.183_d0.093_thmin0.930_kc0.298_ke0.556_knued0.234_20250906-151122_55740_9779
explore,ok,40.93841486145158,0.8215357230411922,0.01627911822627921,1.4389502708631083,nan,0,0.6,0.6423071254949373,1.2742815361518476,0.1420799929236996,0.9183238457571283,2.0,0.15481503658560566,0.4261812192236327,0.0,0.1901611313963554,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.642_tau1.274_d0.142_thmin0.918_kc0.155_ke0.426_knued0.190_20250906-151141_55740_1444
