phase,status,cost,drift_max,theta_rate,fig8_phase,t_escape,binary,alpha_dtg,beta_dtg,tau_theta,dtheta_max,theta_min,theta_max,k_ctrl,k_ctrl_e,k_nu,k_nu_ed,nu0,nu_max,dt,tmax,ic,alpha,dtg,no_plots,lyap_light,adaptive_step,adapt_r_trigger,adapt_factor,min_max_step,run_dir
explore@3,ok,49.53135412399577,0.49622685770796804,0.018030086797912626,1.388788473527391,nan,0,0.6,0.7143372083411571,0.71486595452958,0.09046041520360763,0.9,2.0,0.2733757292214836,0.6149507186880445,0.0,0.251137707703993,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.714_tau0.715_d0.090_thmin0.900_kc0.273_ke0.615_knued0.251_20250906-153054_59746_3858
explore,ok,52.462180411274325,0.5252813621803426,0.013932610805944812,1.4082871233756087,nan,0,0.6,0.5502930565251491,0.7429215044241051,0.15301022714758564,0.9696414855869413,2.0,0.19476671871729492,0.5555797979464021,0.0,0.24134553171572584,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.550_tau0.743_d0.153_thmin0.970_kc0.195_ke0.556_knued0.241_20250906-152730_59382_3774
explore,ok,57.40764404496482,0.5752573646390815,0.016481077692592862,1.4416020525217563,nan,0,0.6,0.6490696974941135,0.8722004132143935,0.09243835998494253,0.9765770457765425,2.0,0.200489181766894,0.33709833735205913,0.0,0.1645074565250196,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.649_tau0.872_d0.092_thmin0.977_kc0.200_ke0.337_knued0.165_20250906-152634_59383_4310
explore@2,ok,58.1415905741361,0.5816315674544839,0.014035789427119357,1.3515103463013582,nan,0,0.6,0.5550111067529495,0.6838293282208321,0.15879749739329843,0.9640745320018524,2.0,0.18912311528887932,0.6188319277568306,0.0,0.265127090834213,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.555_tau0.684_d0.159_thmin0.964_kc0.189_ke0.619_knued0.265_20250906-152931_59632_6244
explore@2,ok,60.50241569495343,0.605940474225614,0.019134352120938634,1.3753602579982442,nan,0,0.6,0.7586836800952329,0.7646426652696964,0.08856734097717223,0.9140183343579678,2.0,0.268180739815231,0.6082725892911827,0.0,0.25955488789908593,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.759_tau0.765_d0.089_thmin0.914_kc0.268_ke0.608_knued0.260_20250906-152911_59634_2163
explore@1,ok,60.57302673375836,0.6063042607635282,0.014151877814347109,1.3948507055637323,nan,0,0.6,0.5591964930416592,0.8052468230408105,0.16,0.9634871822642194,2.0,0.1559188989090879,0.5735451870793886,0.0,0.24651456459251514,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.559_tau0.805_d0.160_thmin0.963_kc0.156_ke0.574_knued0.247_20250906-152810_59547_1223
explore,ok,60.92576510995146,0.6105704680188352,0.018299634789173878,1.4353566800503912,nan,0,0.6,0.7237471831737299,1.0829808250935127,0.14457026186195043,0.9583785429355054,2.0,0.2304342137182051,0.6892463055917482,0.0,0.206780156581253,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.724_tau1.083_d0.145_thmin0.958_kc0.230_ke0.689_knued0.207_20250906-152617_59384_5199
explore@2,ok,61.751256529122934,0.6167698071822124,0.012600278876267834,1.2496517504195435,nan,0,0.6,0.4983306957741809,0.6516105906178875,0.1055548634710122,0.9273895982873207,2.0,0.27470500450822805,0.5615254470841912,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.498_tau0.652_d0.106_thmin0.927_kc0.275_ke0.562_knued0.300_20250906-152911_59633_4218
explore,ok,62.07877134512656,0.6208568980342117,0.01564452877950084,1.313091463124509,nan,0,0.6,0.6197133992289419,0.6200086041781335,0.10200234546952955,0.9178568590519058,2.0,0.26047068212460184,0.5706797949691644,0.0,0.28382693515572677,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.620_tau0.620_d0.102_thmin0.918_kc0.260_ke0.571_knued0.284_20250906-152617_59382_2161
explore@3,ok,62.977701439402324,0.6310609103065877,0.01783233054776352,1.437582857223521,nan,0,0.6,0.7047132690777671,1.1748403199845487,0.15088610495784427,0.9583946521241011,2.0,0.21327785462337487,0.7,0.0,0.19770278970869448,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.705_tau1.175_d0.151_thmin0.958_kc0.213_ke0.700_knued0.198_20250906-153054_59748_7038
