group_tag,nu,drift_rms_base,drift_rms_dtg,improve_pct,collided_dtg,t_collision_dtg,diag_base,diag_dtg
out,0.003,0.07611656180410409,0.0012739807152883816,98.32627658804778,False,,runs/out/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/out/smoke/data/diagnostics_exp2_a1.0_dtg1.csv
scan_driftonly,0.003,0.047418314020500514,0.007149372672831308,84.92276070857265,False,,runs/scan_driftonly/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_driftonly/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
scan_driftonly,0.001,0.01445271092682863,0.0023820132745198887,83.5185711069738,False,,runs/scan_driftonly/baseline_nu0.001/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_driftonly/dtg_nu0.001/data/diagnostics_exp2_a1.0_dtg1.csv
scan_driftonly,0.006,0.09219372774177699,0.016604276270748636,81.9897983545528,False,,runs/scan_driftonly/baseline_nu0.006/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_driftonly/dtg_nu0.006/data/diagnostics_exp2_a1.0_dtg1.csv
scan,0.006,0.03470301634573234,0.0338275486413693,2.5227423911544418,False,,runs/scan/baseline_nu0.006/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan/dtg_nu0.006/data/diagnostics_exp2_a1.0_dtg1.csv
scan_rms,0.006,0.09219372774177699,0.09219372773665316,5.55767950794027e-09,False,,runs/scan_rms/baseline_nu0.006/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_rms/dtg_nu0.006/data/diagnostics_exp2_a1.0_dtg1.csv
scan_rms,0.001,0.01445271092682863,0.014452710926853692,-1.7340380074242729e-10,False,,runs/scan_rms/baseline_nu0.001/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_rms/dtg_nu0.001/data/diagnostics_exp2_a1.0_dtg1.csv
scan_rms,0.003,0.047418314020500514,0.04741831402247577,-4.165591575879057e-09,False,,runs/scan_rms/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_rms/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
out,0.004,0.10311319057502527,0.10311319062629144,-4.971834503165606e-08,False,,runs/out/baseline_nu0.004/data/diagnostics_exp2_a1.0_dtg0.csv,runs/out/dtg_nu0.004/data/diagnostics_exp2_a1.0_dtg1.csv
scan,0.003,0.008103911222555852,0.008103911273123364,-6.239889677288718e-07,False,,runs/scan/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
scan,0.001,0.0003300427830268292,0.00033004279358429594,-3.1988176327084636e-06,False,,runs/scan/baseline_nu0.001/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan/dtg_nu0.001/data/diagnostics_exp2_a1.0_dtg1.csv
out,0.002,0.05000230003919463,0.1518938108229126,-203.7736478198995,False,,runs/out/baseline_nu0.002/data/diagnostics_exp2_a1.0_dtg0.csv,runs/out/data/diagnostics_figure8_a1.0_dtg1.csv
scan_strong,0.001,0.2556159739644942,0.8772633703535687,-243.19583269683417,False,,runs/scan_strong/baseline_nu0.001/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_strong/dtg_nu0.001/data/diagnostics_exp2_a1.0_dtg1.csv
scan_strong,0.003,0.24525883237600854,0.885246111085548,-260.94362127940377,False,,runs/scan_strong/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_strong/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
scan_strong,0.006,0.2260664117512383,0.8942719583339506,-295.57931291358767,False,,runs/scan_strong/baseline_nu0.006/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_strong/dtg_nu0.006/data/diagnostics_exp2_a1.0_dtg1.csv
scan_profile,0.003,0.028693793463709535,0.006949174757258881,75.78161017277884,True,7.010000713574496,runs/scan_profile/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_profile/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
scan_stable,0.003,0.028693793463709535,0.006949174757258881,75.78161017277884,True,7.010000713574496,runs/scan_stable/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_stable/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
scan_profile,0.006,0.0545468851732166,0.01654415214091717,69.66984991282212,True,9.062273848899308,runs/scan_profile/baseline_nu0.006/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_profile/dtg_nu0.006/data/diagnostics_exp2_a1.0_dtg1.csv
scan_stable,0.006,0.0545468851732166,0.01654415214091717,69.66984991282212,True,9.062273848899308,runs/scan_stable/baseline_nu0.006/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_stable/dtg_nu0.006/data/diagnostics_exp2_a1.0_dtg1.csv
grid_ck0.03_kp0.12,0.003,0.02292455608155751,0.007054477213856557,69.2274206368088,True,7.647934850489837,runs/grid_ck0.03_kp0.12/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/grid_ck0.03_kp0.12/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
grid_ck0.03_kp0.15,0.003,0.02292455608155751,0.007054477213856557,69.2274206368088,True,7.647934850489837,runs/grid_ck0.03_kp0.15/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/grid_ck0.03_kp0.15/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
grid_ck0.03_kp0.20,0.003,0.02292455608155751,0.007054477213856557,69.2274206368088,True,7.647934850489837,runs/grid_ck0.03_kp0.20/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/grid_ck0.03_kp0.20/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
scan_profile,0.001,0.006986616734650901,0.002272819010064232,67.4689610667788,True,5.959342494612204,runs/scan_profile/baseline_nu0.001/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_profile/dtg_nu0.001/data/diagnostics_exp2_a1.0_dtg1.csv
scan_stable,0.001,0.006986616734650901,0.002272819010064232,67.4689610667788,True,5.959342494612204,runs/scan_stable/baseline_nu0.001/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_stable/dtg_nu0.001/data/diagnostics_exp2_a1.0_dtg1.csv
grid_ck0.04_kp0.12,0.003,0.01850128580990184,0.006781234831709971,63.34722407195789,True,5.182266680514139,runs/grid_ck0.04_kp0.12/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/grid_ck0.04_kp0.12/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
grid_ck0.04_kp0.15,0.003,0.01850128580990184,0.006781234831709971,63.34722407195789,True,5.182266680514139,runs/grid_ck0.04_kp0.15/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/grid_ck0.04_kp0.15/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
grid_ck0.04_kp0.20,0.003,0.01850128580990184,0.006781234831709971,63.34722407195789,True,5.182266680514139,runs/grid_ck0.04_kp0.20/baseline_nu0.003/data/diagnostics_exp2_a1.0_dtg0.csv,runs/grid_ck0.04_kp0.20/dtg_nu0.003/data/diagnostics_exp2_a1.0_dtg1.csv
scan_tuned,0.001,0.005376555134182003,0.002183295931784176,59.39228972276975,True,4.560990335880011,runs/scan_tuned/baseline_nu0.001/data/diagnostics_exp2_a1.0_dtg0.csv,runs/scan_tuned/dtg_nu0.001/data/diagnostics_exp2_a1.0_dtg1.csv
