run,k,ke,d,drift_max,theta_rate
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.7_d0.10,0.3,0.7,0.1,0.0137094423666963,0.0004297481842973849
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.7_d0.05,0.3,0.7,0.05,0.0137094423666963,0.0004297481842973849
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.7_d0.08,0.3,0.7,0.08,0.0137094423666963,0.0004297481842973849
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.5_d0.10,0.3,0.5,0.1,0.0137366634687981,0.00043067222297161757
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.5_d0.05,0.3,0.5,0.05,0.0137366634687981,0.00043067222297161757
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.5_d0.08,0.3,0.5,0.08,0.0137366634687981,0.00043067222297161757
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.3_d0.10,0.3,0.3,0.1,0.0137640505039201,0.00043162401687917295
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.3_d0.05,0.3,0.3,0.05,0.0137640505039201,0.00043162401687917295
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.3_d0.08,0.3,0.3,0.08,0.0137640505039201,0.00043162401687917295
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.7_d0.10,0.2,0.7,0.1,0.0184192338822339,0.0005673593866866222
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.7_d0.05,0.2,0.7,0.05,0.0184192338822339,0.0005673593866866222
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.7_d0.08,0.2,0.7,0.08,0.0184192338822339,0.0005673593866866222
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.5_d0.10,0.2,0.5,0.1,0.0184629077115382,0.0005686761788848693
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.5_d0.05,0.2,0.5,0.05,0.0184629077115382,0.0005686761788848693
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.5_d0.08,0.2,0.5,0.08,0.0184629077115382,0.0005686761788848693
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.3_d0.10,0.2,0.3,0.1,0.0185068496439676,0.0005699910297521038
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.3_d0.05,0.2,0.3,0.05,0.0185068496439676,0.0005699910297521038
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.3_d0.08,0.2,0.3,0.08,0.0185068496439676,0.0005699910297521038
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.7_d0.08,0.1,0.7,0.08,0.0320592657860706,0.0009503484800647721
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.7_d0.05,0.1,0.7,0.05,0.0320592657860706,0.0009503484800647721
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.7_d0.10,0.1,0.7,0.1,0.0320592657860706,0.0009503484800647721
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.5_d0.08,0.1,0.5,0.08,0.032218874443862,0.0009546510652908402
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.5_d0.05,0.1,0.5,0.05,0.032218874443862,0.0009546510652908402
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.5_d0.10,0.1,0.5,0.1,0.032218874443862,0.0009546510652908402
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.3_d0.08,0.1,0.3,0.08,0.032380818083691,0.0009590092732844613
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.3_d0.05,0.1,0.3,0.05,0.032380818083691,0.0009590092732844613
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.3_d0.10,0.1,0.3,0.1,0.032380818083691,0.0009590092732844613
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.7_d0.08,0.05,0.7,0.08,0.0502319054035537,0.0014386746677421403
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.7_d0.05,0.05,0.7,0.05,0.0502319054035537,0.0014386746677421403
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.7_d0.10,0.05,0.7,0.1,0.0502319054035537,0.0014386746677421403
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.08,0.05,0.5,0.08,0.0504294033543605,0.0014436288474920288
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.05,0.05,0.5,0.05,0.0504294033543605,0.0014436288474920288
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.10,0.05,0.5,0.1,0.0504294033543605,0.0014436288474920288
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.05,0.05,0.3,0.05,0.0506287253591011,0.0014486247237223914
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.08,0.05,0.3,0.08,0.0506287253591011,0.0014486247237223914
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.10,0.05,0.3,0.1,0.0506287253591011,0.0014486247237223914
